,1402110jcsa07_1_DCIS ,1402110jcsa08_1_Reduction ,1402110jcsa09_1_Reduction ,1402110jcsa10_1_LumA ,1402110jcsa11_1_Reduction ,1402110jcsa12_1_Basal ,1402110jcsa14_1_LumA ,1402110jcsa15_1_Reduction ,1402110jcsa16_1_LumB ,1402110jcsa17_1_DCIS ,1402110jcsa18_1_LumA ,1402110jcsa19_1_Basal ,1402110jcsa21_1_LumA ,1402110jcsa22_1_LumB ,1402110jcsa24_1_LumB ,1402110jcsa25_1_LumA ,1402110jcsa26_1_LumA ,1402110jcsa28_1_HER2 ,1402110jcsa29_1_LumA ,1402110jcsa32_1_DCIS ,1402110jcsa33_1_LumA ,1402110jcsa35_1_Basal ,1402110jcsa36_1_HER2 ,1402110jcsa37_1_Basal ,1402110jcsa38_1_Reduction ,1402110jcsa39_1_LumA ,1402110jcsa40_1_LumB ,1402110jcsa42_1_Basal ,1402110jcsa43_1_HER2 ,1402110jcsa45_1_HER2 ,1402110jcsa46_1_HER2 ,140214ajcsa08_1_Basal ,140214ajcsa09_1_Reduction ,140214ajcsa10_1_Basal ,140214ajcsa11_1_LumA ,140214ajcsa12_1_HER2 ,140214ajcsa14_1_LumB ,140214ajcsa16_1_DCIS ,140214ajcsa17_1_DCIS ,140214ajcsa18_1_Reduction ,140214ajcsa19_1_Reduction ,140214ajcsa22_1_DCIS ,140214ajcsa23_1_HER2 ,140214ajcsa24_1_LumB ,140214ajcsa26_1_Reduction ,140214ajcsa28_1_Basal ,140214ajcsa29_1_Reduction ,140214ajcsa30_1_Reduction ,140214ajcsa31_1_DCIS ,140214ajcsa32_1_LumB ,140214ajcsa33_1_DCIS ,140214ajcsa37_1_LumB ,140214ajcsa38_1_LumB ,140214ajcsa39_1_DCIS ,140214ajcsa40_1_Basal ,140214ajcsa42_1_HER2 ,140214ajcsa43_1_DCIS ,140214ajcsa44_1_Basal ,140214ajcsa45_1_DCIS ,140214ajcsa46_1_LumB ,140214ajcsa47_1_LumA ,140217ajcsa07_1_LumA ,140217ajcsa08_1_LumB ,140217ajcsa09_1_Basal ,140217ajcsa10_1_DCIS ,140217ajcsa11_1_DCIS ,140217ajcsa12_1_DCIS ,140217ajcsa14_1_HER2 ,140217ajcsa15_1_HER2 ,140217ajcsa16_1_Basal ,140217ajcsa17_1_Basal ,140217ajcsa18_1_LumA ,140217ajcsa21_1_HER2 ,140217ajcsa22_1_LumB ,140217ajcsa23_1_LumB ,140217ajcsa24_1_LumA ,140217ajcsa25_1_LumB ,140217ajcsa26_1_DCIS ,140217ajcsa28_1_HER2 ,140217ajcsa29_1_LumA ,140217ajcsa32_1_Reduction ,140217ajcsa33_1_HER2 ,140217ajcsa35_1_LumB ,140217ajcsa37_1_LumA ,140217ajcsa38_1_LumB ,140217ajcsa39_1_LumB ,140217ajcsa40_1_LumB ,140217ajcsa43_1_LumA ,140217ajcsa45_1_DCIS ,140217ajcsa46_1_Basal ,140217ajcsa47_1_LumA ,140219ajcsa07_1_Reduction ,140219ajcsa08_1_Basal ,140219ajcsa09_1_Reduction ,140219ajcsa11_1_Reduction ,140219ajcsa12_1_LumA ,140219ajcsa14_1_DCIS ,140219ajcsa17_1_DCIS ,140219ajcsa18_1_HER2 ,140219ajcsa19_1_Basal ,140219ajcsa21_1_HER2 ,140219ajcsa22_1_Basal ,140219ajcsa23_1_LumA ,140219ajcsa24_1_Basal ,140219ajcsa25_1_LumB ,140219ajcsa28_1_Basal ,140219ajcsa29_1_DCIS ,140219ajcsa31_1_HER2 ,140219ajcsa32_1_DCIS ,140219ajcsa33_1_Reduction ,140219ajcsa35_1_Reduction ,140219ajcsa36_1_Basal ,140219ajcsa37_1_LumB ,140219ajcsa38_1_Basal ,140219ajcsa39_1_Reduction ,140219ajcsa40_1_DCIS ,140219ajcsa42_1_LumA ,140219ajcsa43_1_LumA ,140219ajcsa45_1_DCIS ,140219ajcsa50_1_DCIS ,140219ajcsa51_1_DCIS ,140219ajcsa52_1_Reduction ,140219ajcsa53_1_Reduction ,140219ajcsa54_1_DCIS ,140219ajcsa55_1_LumA 
0,10530864.0,3212202.771130208,14989171.108457372,12071251.0,13796731.312522763,13539993.0,6621504.331510139,14594993.699913004,8381200.806855848,12905423.0,15049763.0,15227673.139880544,9173090.829729231,8697171.895967787,14898427.0,5241661.192577267,13472232.710830413,13693350.0,13643684.0,9829987.349262709,13001715.0,13934541.96174216,12379494.975526758,3921397.185254818,12343992.267544534,12921742.386021215,14297622.145106817,9005383.869156487,11901606.0,6461709.756916648,7408506.0,8951614.0,14393716.186105425,7085808.507186597,14458195.4019135,13998539.73923102,14023923.169314642,8366111.0,327629.0,14255635.741138004,13325423.0,1132044.6682403772,13683876.009247355,9329886.0,1778266.2660040846,11064973.038202278,3660519.7615621914,11111125.0,8680459.0,13920652.199046232,12167293.764566908,8779061.671788108,13201675.0,13332833.0,9555082.92127246,13236512.0,13466909.0,14297125.0,731816.5437627304,6860586.0,8861006.291497879,13396225.97328555,5368718.083083579,12932040.0,12922348.0,13150040.818293238,13080214.284067951,12764944.0,13337129.146501126,12916272.894978112,12720355.427286338,11945124.0,11533606.013949892,12745797.0,12521723.35780741,12902076.476651607,9141375.88745872,10444335.0,11122286.0,11981086.0,6453041.031087519,13074362.476165991,12980445.0,1529893.2379572294,13158902.74575588,6242746.371455252,3671834.746466265,5531017.812018106,12340573.0,12527292.0,5746490.0,3560266.255124869,8893345.0,12575626.0,11508491.0,6048368.073563864,12122428.0,11559335.0,9161220.64523216,8455052.913874812,10926417.641978323,11187618.0,12270873.684498064,2952460.689949972,7155114.861250561,9507521.0,12027364.536892332,11228956.0,13229839.0,1090998.6308127153,11128437.0,12863562.79300794,543380.1846487985,13002147.445454665,12955921.389413793,12667721.400636936,8983092.003097944,13115530.0,3436159.5668461835,300836.4111902013,805514.2676003464,840428.4860482926,2896399.7152342694,1951502.1205078005,987685.8878443652
1,11631825.660963535,8962947.0,13404279.290193813,11279328.776800817,6599873.34073065,9212860.0,8822315.0,12347483.0,9196577.0,9379284.0,13100719.0,13446565.0,8782125.0,8239933.0,12538435.0,8930259.0,9514663.0,8417690.0,8281510.0,8574189.0,8647844.0,9822723.0,5473682.0,6574102.017431331,13013930.526948452,9367946.0,13592973.757871969,5929787.0,8837181.0,7061714.0,5906593.0,6820395.0,6165791.993003292,6768865.241753332,13177343.817019172,13452663.031030118,9568820.40564845,8743949.0,305060.9885236291,5202107.0872061625,11404423.0,4498672.069122292,14513992.0,12686480.85679352,6559274.0,8892838.0324238,6981436.0,9601621.0,12190152.0,7804958.0,8576753.0,7464209.862052102,14145057.008454202,6893188.0,9003454.0,13861211.160571124,11923331.0,9114800.290899456,177383.0,7041136.0,8180057.0,7848919.947509956,8251821.0,9129219.0,12863150.604373412,12249466.623018377,12029704.189798651,12872143.0,12294837.0,9475834.474551529,11434126.278540555,10138410.0,9873949.0,10669190.0,12195081.293833287,11218080.0,7706663.0,7867967.0,11899236.0,9815032.0,7362680.0,6064324.939819464,8452097.912460143,7263839.0,12324981.0,7728048.0,6525642.0,8343578.0,12003811.0,10421742.0,9748052.13930763,3384708.0,8451945.461373238,4925786.642180566,4164632.494649958,6857416.456715736,7379312.508281938,6832095.0,8617100.0,10929151.0,9901264.0,10831527.744086508,8418724.97867773,6725338.0,8277050.0,7246459.0,10894852.0,2698372.216342151,5551283.0,5173442.0,6449995.0,4532561.0,3002092.802111218,5161771.0,3015844.1953804763,9358743.785392346,6253859.0,5252005.81969545,9892743.703236807,272912.0289401014,3110686.0,3435364.4472656148,5116268.0,481669.8522906489,4460343.0
2,4285643.893567439,682233.393937256,6548814.914811568,5169078.812725133,8417886.816463938,6562810.609451784,1445981.614670352,6703501.927892243,2262732.5547872083,4367952.506306502,11757323.229560636,11963190.833913015,2599869.072776987,2423957.44752638,9097798.736280156,1003450.4170217008,6427957.397765782,12132773.0,12312426.0,2772361.871056018,10823822.74428897,4108959.281395967,5107752.247420546,648275.9888514377,7906076.540165344,3664810.356707194,8304587.13848492,2786847.3965966552,10709652.14902413,1946505.066709272,2759024.165537414,3178056.7391692176,7556211.65721393,1070384.7245927043,5196214.372966994,9185802.052572507,13233042.866127606,1531249.542581847,58975.2653396536,12381066.037118744,9374863.341381185,200721.5203950195,5892663.979071201,13604449.038336292,193867.5852454988,3811983.192932952,719763.7198001975,5896723.59231684,1864923.4130134224,6774604.313231937,2696431.969481606,1467658.1802951412,9648787.813932717,13254926.0,1781363.177369761,10392966.763010591,12671404.903262489,12978333.887951326,136035.0,2118803.084448172,1849367.314905173,3490934.6564181475,737170.5361834649,3943231.6569177066,7529496.0212395005,10752487.227390615,10352313.449743357,9406454.84124862,11578232.464550206,10502203.640951715,9734799.00200727,3346302.1578823496,2506872.511074517,8586968.361251187,9170356.835878734,10345006.785544742,2328927.593193428,3118700.8755281875,3350795.749325533,4287590.472635379,1394149.0405720589,11177169.11410044,5127866.188012551,2248709.703920383,11435557.010130111,1136345.722770709,848083.2041213855,1174375.350700763,4495183.517825792,9183723.52706045,1270457.804693221,695340.5604452381,2734124.7416616767,5111882.436801415,6128333.635232482,1318179.1966908665,6743479.591959139,7339805.337416828,2004738.2807285984,1417234.0203852784,12061553.620909424,3812585.953530483,10788743.381874334,537539.4405969577,1935124.738028803,2903793.0307317995,10324882.0,9166386.857269242,7572972.0,199713.2288895633,6360854.348971467,7659611.574629528,86750.99642840799,5674599.709140558,5513614.494870401,5287839.370030142,3334210.764397002,7588873.549547615,752750.4746247787,50212.60378185885,138673.61070614707,52125.7554856936,552570.1902494761,371403.2200113584,1438347.4345759123
3,10785778.0,10676951.0,7090101.420014331,10572502.0,11276769.401202634,8130708.423345052,10792202.695747534,11680355.405320652,5698663.786488262,10672321.0,11610027.893315034,6987449.344586104,10051607.395566631,10400519.14702775,5612794.504142482,10474904.028925838,10531863.0,7036738.448795155,10707349.883906784,9400148.776191317,6614602.929592963,11229547.233939162,11522929.15197376,10639696.835711405,11092179.0,10860374.09047857,9913180.338720836,9033709.799145432,10661587.161523849,9112048.595082209,9839146.75582381,10951717.080395518,10250938.0,8515740.81343791,11929132.0,8669506.359723937,10353428.0,10504630.0,62592.886867405934,11692366.2685414,7220439.898713052,10247956.0,6304708.317959683,3523242.7325971723,9978398.616643649,9170575.653423388,5462157.129105606,10272682.163490849,8317062.343127465,9671945.730991744,9503550.806747526,9973454.379572472,5336949.770068809,10291083.742711922,10079251.087471455,6111575.927323885,10803776.565883614,10445218.260736376,382583.1342779441,10724705.256322106,9736978.310278475,8130029.650319677,9571708.043633984,8667176.41410948,6427757.945959829,10608911.929707495,3255613.7056013867,10762210.338067964,5304936.061746556,6471934.233929412,6595215.645311398,9850407.898409689,9133231.57819802,10360463.0,7289856.435625602,5336372.431224413,9957526.934101371,9660041.0,4515555.96116193,8312380.345441144,265682.5195567738,10942290.36025136,10232941.551128728,9753268.0,4415240.350360736,9264836.137476137,9587275.910860136,9943763.8382662,3171851.8159607146,8699301.457994133,6869456.9407683695,9071145.9486178,6705695.776336649,3825106.5279063294,7490432.525095063,284574.712614642,10425829.768174924,5819906.886421595,5332099.491407666,10285644.34407336,9982903.01123716,8229638.419817863,4933287.001081839,9157852.234380748,9372947.495576166,9870969.827604456,7695518.4448566735,5869613.56557256,1420450.6010560691,422285.6442525247,6567313.024335915,7680566.0,7944053.873664096,10420405.0,394447.2381568239,6365620.670612325,9491245.0,9126195.0,9322231.0,250861.98656048495,6359523.143965792,6098125.541158764,8826256.835762708,2419331.191014003,8340926.055716851
4,3519501.4241725225,1407130.0,1950655.0,4646112.7273547305,11651276.0,1421329.0,2747547.6832717843,1752871.0,1102274.9161189743,1297525.0,8779115.403275615,10038243.0,2287976.7518648254,1945381.237317556,2657905.0,4016635.0,4528234.862981617,214511.64038856584,8665034.464293925,2507615.0090605645,4237407.0,2042749.0,1229400.706578968,2487732.344285823,7544675.041001912,2970694.5206405977,4663136.717596397,2267437.6459948225,3868880.559515738,1645003.5080889412,2443265.918820192,2344574.988124809,2410154.298083844,1094905.2173827686,2792950.0,2638248.0,1068248.0,247270.31374845144,114638.73207572584,858834.0,298290.8152418865,1282629.0,7498800.0,7124936.881684709,1293495.71003159,3963022.653856866,1001741.0998648456,8059532.789797529,9249081.196939267,4405525.763932461,1512277.0,1896201.818433898,6090722.816962404,4641411.250358926,2603618.696948165,1294978.8030559255,8152283.276164956,6456571.740075216,146394.2957756174,309635.4276196577,1815554.0,2039230.0,788203.4388087918,2347555.7629515063,2071188.9082723493,1621036.634335612,2431826.349159417,1333699.7349295728,8405318.0,606457.5938240853,1048160.7972762688,2318061.2170475665,5693724.478746852,3982553.8309014495,1475799.0,2111787.1331762467,3710550.737821375,540390.8121136363,9177501.0,2202909.1414026264,1403765.8762943142,1489607.1649033232,2386895.2509360705,1324684.0,4576154.0,1109027.540118305,528601.0,1007302.0,7153534.53457663,2372685.648420928,692940.4961759765,779540.0,995808.0,1334523.6671712254,3029577.906334612,495384.1546043791,3520925.761303287,1781999.0,3256937.151000341,7806775.0,8945625.869788568,3449264.304072208,871155.7111030445,1400069.6369734793,8190325.033843651,507571.71237231616,3128151.266059365,638876.4290131525,1584206.0,1192285.2480392042,1381270.0,4889660.547860535,26258.85789251716,1567788.5599638687,1756715.7989024783,1379782.663025516,545868.3402368635,1459899.0,999373.0,137085.52558844088,627384.3158479274,786676.6520373267,898183.9258356169,484207.84410689486,962796.0
5,389268.1402266723,336211.1300761639,655137.7979024164,352275.03354349267,473381.2707963504,295509.9674069341,386186.2196747635,796275.274119228,410506.0508729722,878634.746678777,1059865.515380877,1128983.5319394572,342938.8493585498,343709.2716668984,992082.5105551686,400539.5015966054,397348.1069914759,1867312.214314528,517936.1074734244,23456.61321778397,713770.8074211869,263080.6398839124,666181.6579919569,369440.4593276152,539286.8363279914,371901.7951583811,2456956.834394218,310060.7338957834,572090.0925228095,380004.92287178943,252975.04005013677,174187.3140303872,772435.3721551494,299185.6709173715,1468260.5234853192,364686.37495356286,1695015.3450552728,263881.50218683964,27911.7091567697,819672.3776264526,1093418.458559691,285936.4681664276,1009342.3976584212,332742.1828597905,324809.3683716592,166620.91833957523,368910.4043789669,281827.8496627676,333613.6829969166,303202.00923532574,325249.9519586966,341579.36692991224,490722.728268588,382610.8473317819,331821.25680083653,733552.3067034613,560362.4227199345,460362.35382072255,67095.7490119484,1039209.283987119,394491.6948894155,377860.55077283457,282188.04933775344,351622.81273314054,449506.2355337031,1247122.1433728477,1069075.763246905,1068012.2522518672,164635.23514247686,1110451.7238311209,652261.9719582647,272175.43705461174,314793.39673615457,784257.7421052358,1421516.39297695,218868.9138862081,335315.5738424519,473815.28587726434,898072.1495644692,592881.1789384737,248584.14642719997,1366383.2107801726,264707.6519159591,337169.7743122226,771537.9374921517,343664.04220418376,407779.4411361737,415928.9525863992,652991.0618384508,534586.6714280532,310222.30485316075,237633.65816344295,157278.0,412834.4088396952,316395.34281053813,217964.1705940112,455793.62578733405,549201.5884377602,189311.37632651243,529083.3778203088,512568.7331129354,388357.7349419077,632292.711723675,270015.5252745128,337583.3369708501,392507.6026300603,1082631.2130580782,662481.3775712568,1180085.936928459,272256.6214347394,887655.4884728477,375191.5510064792,379997.05262032687,674518.2843195132,312801.6533147901,1114103.689859036,545567.2514458187,561995.0253380034,522501.9818478717,7396.410819251083,609042.4334127322,224764.96776516092,802379.5714301837,463570.7019486603,411527.1273219017
6,218962.51879619175,3156561.172909295,6217718.401925452,3234297.336673805,359354.5908801793,512065.8108721068,232987.79279596405,7197127.190710349,9580247.562069844,2633534.7686244026,603820.6520134096,994381.4040992652,31973.720824902703,185506.07714620675,1459257.3691829294,116766.91621977168,228216.41651020257,1176376.299635455,284271.9795678379,270934.44547686074,880913.4774042098,230580.8031137609,191905.95724295173,1053522.4748329334,603829.3767547267,317705.4109728122,4501246.385564687,270610.24198220205,59443.0,351750.725689983,1199166.9148152985,180784.92792444653,2021033.0,93990.2463514884,5268050.053639641,2572537.141078521,1377169.366874043,1033652.6854047356,0.0,1189162.0,7406786.780786486,79354.0,10152529.839590725,738801.2584643299,382935.5052670762,2856984.196905031,32860.743661561515,290241.47192810033,5012505.693225645,104780.48501490284,302613.2350547323,497519.4330066601,1164397.2160268703,717299.3435795605,170858.90672946093,1327143.3823828085,381305.1304293461,1260905.652827561,24671.19575664984,19679.165476952592,328646.6691338755,1529559.0,65846.19167382125,83229.7353753132,1825635.0,1353060.859343931,11056538.692785222,1006689.4867210314,233919.98434017645,2538744.2559671057,10931601.46250822,39896.828653362696,214817.0,3282753.386540684,98466.26948019202,1750104.002227489,282059.86225825385,39085.90101098117,11542240.0,4586571.10020551,126682.18270428268,742415.9067491423,298520.3663921817,65098.18263343378,1701517.0,484117.8041864047,27031.68969312136,158791.42761872313,1081739.865654101,385337.3307698204,241084.47819111496,114869.60526760668,4593105.719849419,9629807.299662177,5901691.1488776365,7027434.73010404,372009.2058135957,844398.6244463101,242619.16517219297,243397.43933285284,547054.2298699941,337952.7210369128,1655735.0,2775390.742646592,58372.90206882369,5011456.342394396,2271821.0,650130.0674634082,10965444.0,9004436.0,875998.938108536,459725.0,38976.0,430976.28338655736,4225793.822231186,497808.4260699041,837110.4184393024,1043602.4830249352,1230790.2542961882,33521.85757558366,1150563.8965305977,1768756.6696596718,260562.53789382117,88261.80948986381,1507362.2340105851
7,104456.33002652304,830606.5082545094,1489488.675353238,57846.59598986758,982672.0,56583.51608223427,1203373.915846726,850090.7542326872,31577.635331208803,629774.5860718781,1815663.68762229,3514646.025701696,4677291.988819712,2442625.9658791157,91960.99772435753,1057558.7122422662,843740.1782806404,895560.4779639812,1266619.4413818326,708581.6092390371,1112331.8753754655,750546.0,1406672.848656196,2658347.8050500057,122417.70242862432,1327445.9938137175,124325.44592699523,682712.5832861345,98426.7183324028,3468669.0365212117,2102267.2389577404,1349525.1824940003,1368236.7871383862,2821534.609462755,847135.6807250744,140064.9606825211,262906.7239810629,828015.7882839076,21840.0,56535.82469456853,33083.38533918839,800832.470668094,27124.91776359116,66579.63364410833,1567607.7922288124,0.0,55484.27931537776,1124067.0,1195148.8494630717,2281905.8002982903,1404261.5582236154,819172.6274354325,73094.0,1355166.955246505,590892.8790151291,2820085.494440528,2631881.3500451893,1329948.3876493368,0.0,296402.37305835605,938574.0,3887516.7610228434,2830289.3295967137,770110.1488749954,50042.93523345765,3724717.529768616,2425724.2119047223,3706750.562552329,99184.95987123926,52031.82898477654,235510.02489330136,915929.0,1184158.1888979992,0.0,712198.0,88057.0,65519.099011063285,722337.1110098456,119319.27806348394,577061.489137743,575663.2318155761,66585.67851206101,847626.8857303616,398931.357380415,89128.45728179073,433963.8137777693,641241.342533245,42396.73477558895,97891.92437437097,499899.8905821889,482622.0744000801,577654.9029692448,1969248.927201807,97873.51043954564,1603386.2287392258,1170320.0876748285,4175467.537775165,57807.00695848464,4395263.104410173,59792.52589596489,3151775.144024427,83024.64706214369,898166.4812675257,28202.44922045672,2250900.456525251,24093.056426776588,655219.6656207899,53846.594199473824,977045.0,794601.2445539292,54504.66072517095,909078.3369033188,827453.8199868365,28805.0,2553311.44350296,4748706.161573172,22350.0,105020.22936305594,54543.25385617628,31385.89137338762,933438.0298906456,0.0,799727.7776118545,0.0,494393.0
8,92264.0,100080.69921519866,382405.0,98730.68399142474,74083.84829231774,96042.0,85804.0,94717.2217018752,108647.0,88575.0,124097.67970606704,2214891.885610734,88534.12214181991,107249.540505755,163387.19459789828,106027.24220839328,81735.38479916123,169646.4196350274,135916.0,94318.8959053373,6126273.8298717085,106814.81633215817,31242.33784118679,97963.24044360012,118690.88091439151,101949.82865715607,78333.47350060102,75099.29852020345,54504.909706814215,50724.8314786377,44839.70146601065,0.0,98986.43642754928,0.0,127707.0,137383.06200846587,1455384.0,38133.0,0.0,1311969.0,306999.0,95321.82730954912,283647.3085682518,118189.13562250562,92153.0,45817.45245104027,56858.25377060915,107049.0,0.0,265196.0,97093.778633654,92309.9763843671,396024.0,159099.80419224704,116111.14585042116,226188.0,1818666.393630944,131330.57461146262,0.0,394382.1228622759,101537.64254010624,4491870.456682172,0.0,73930.87738342141,363827.0,2758217.0,360052.0,265317.4925257191,104356.0823971072,1255484.3138694018,863224.6330059734,97376.0,88205.70827659825,56533.0,1606893.0,129621.0,95585.6365859154,105809.5539450773,3553488.2643333143,127330.5315875854,9688300.375467775,193971.0,118943.0,56051.15606310006,321346.0354289495,111286.16712084644,98620.59239222248,93457.8328615896,3574649.1952903634,88094.58620491903,100479.7886017674,58389.18467110151,95596.0,85569.5605365952,47661.27442910243,52709.552983960224,63505.65694769612,28852.62981188111,103364.0,78642.99221827439,934130.8684463724,96881.0,215318.27737443603,66382.9877882261,85432.79119691842,131590.0,7261857.874347324,6551620.431329452,54870.88164299156,52714.0,174806.59570198762,79932.081474056,83146.92744919186,90581.6203111345,56706.973440588685,209038.0,133753.0,31209.647638602182,79938.31771973055,0.0,0.0,0.0,84809.0251004376,0.0,37535.437044942286
9,8216220.675942562,5864092.000362143,2635278.1438952163,10108045.68256136,9763468.021119976,4939728.690580532,9598909.890508004,9593884.947216695,3239167.0,214370.89881801885,10245487.216903916,8431093.01299946,10026674.306107163,8434834.410594486,2130555.410283384,9869461.020033509,9281996.315502144,1997989.2789234535,9655762.783543997,10781648.597938742,1320800.5447589576,9646015.051621651,2130907.352007041,9246339.059189191,6452452.237904579,9498730.679806292,5033208.43009566,9629094.450113185,3389660.120389253,5799083.493479908,7673956.657145329,4547384.972742192,6661030.855451219,9576045.339351527,4302166.355352901,2693645.1004547253,2395793.70400654,3884645.583586127,276831.0,780995.7252047509,1096102.0,5030934.041077256,2512446.945623338,4024314.895468868,8965335.895347789,8142378.611945387,3103235.957171187,9897253.586332396,3126428.5054527074,7875056.492638923,8821166.700836763,9419734.172859184,5844117.809886634,9107383.766336754,8833121.013593629,1894433.1940416768,6503595.003121667,9371226.851283744,0.0,1110903.319160316,8977927.14874123,8808392.86475575,9330035.994833551,9406022.67265392,3303627.3288737163,113259.71501752082,2450678.4401145875,1231890.4771211003,6264100.363992915,1849164.148351088,1398808.6661965705,8754997.454246983,9601891.513691189,7971575.112736128,1487044.178744197,6739423.553885497,8967658.936245225,5084697.379777908,4300993.22485134,5395166.131633833,8147028.60576777,208881.5987133868,6858218.374879722,5837836.339186437,1434654.088866901,8696874.286795497,2688296.487407863,7305901.847327456,3184953.0628944784,8325666.670113623,9176322.45110742,8168802.31506031,1366509.4593476804,2716190.5860901177,7274981.53751301,7731506.072427109,7504855.724061217,68977.06766920723,7542933.0005997345,7542890.997934498,7893424.959496975,6430401.054169729,83626.59777460806,7435609.227507323,7225551.413064051,63867.9565348886,2025459.0,276924.524507348,729062.5747361705,5371280.410309441,1488893.6657956056,7377507.847980872,3408120.743408926,167963.83900835924,7699219.057070933,2310536.060119237,1156097.890684294,2493228.92809885,201175.85787180671,314788.23773516715,2440665.507512346,3566214.250697637,2169428.0,51170.67224241566,2629746.954482708
